time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-30T15:36:50.468Z,-62.2162,-57.5546,10,5,mb,,96,1.213,1.12,us,us6000dd9d,2021-01-30T15:53:25.040Z,"South Shetland Islands",earthquake,9.3,1.9,0.088,41,reviewed,us,us
2021-01-30T15:09:49.050Z,17.9316,-66.8785,13,2.51,md,17,201,0.17,0.12,pr,pr2021030010,2021-01-30T17:03:54.210Z,"5 km SSE of Maria Antonia, Puerto Rico",earthquake,0.65,0.34,0.13,11,reviewed,pr,pr
2021-01-30T14:19:28.576Z,47.2241,152.5273,112.18,4.6,mb,,170,6.674,0.9,us,us6000dd90,2021-01-30T15:02:25.040Z,"Kuril Islands",earthquake,12.5,8.9,0.054,103,reviewed,us,us
2021-01-30T14:02:34.224Z,59.6317,-152.4565,72.4,2.6,ml,,,,0.44,ak,ak0211dugzcq,2021-01-30T14:09:22.949Z,"38 km WSW of Anchor Point, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-01-30T13:29:25.576Z,-5.7927,148.4892,129.72,4.5,mb,,65,3.889,0.92,us,us6000dd8q,2021-01-30T15:10:33.040Z,"110 km NE of Finschhafen, Papua New Guinea",earthquake,9.8,8.5,0.118,21,reviewed,us,us
2021-01-30T13:24:59.163Z,-19.9645,-70.3439,60.95,5.2,mww,,136,0.617,0.82,us,us6000dd81,2021-02-03T17:51:38.078Z,"34 km NW of Iquique, Chile",earthquake,4.7,3.5,0.071,19,reviewed,us,us
2021-01-30T13:20:51.749Z,60.0998,-152.279,84,2.5,ml,,,,0.72,ak,ak0211dtzg05,2021-01-30T14:56:24.040Z,"34 km W of Ninilchik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-01-30T13:16:12.957Z,-29.4085,-71.124,58.01,4.3,mwr,,118,0.518,0.71,us,us6000dd7w,2021-01-30T14:53:40.040Z,"56 km NNE of La Serena, Chile",earthquake,4.5,7.2,,,reviewed,us,guc
2021-01-30T12:53:07.179Z,60.0623,-140.7218,0,2.5,ml,,,,0.77,ak,ak0211dtkzkw,2021-01-30T14:16:24.040Z,"80 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-01-30T12:50:45.382Z,48.6893,153.001,158.09,4.4,mb,,135,5.329,0.58,us,us6000dd7v,2021-01-30T14:26:50.040Z,"Kuril Islands",earthquake,7,8.8,0.068,63,reviewed,us,us
2021-01-30T11:17:29.930Z,38.123,-118.0353,0.8,2.5,ml,23,81.42,0.067,0.25,nn,nn00799222,2021-01-30T11:24:24.824Z,"30 km SSE of Mina, Nevada",earthquake,,6.1,,,automatic,nn,nn
2021-01-30T10:52:32.139Z,-4.4977,102.5621,57.84,5.4,mb,,67,0.415,0.85,us,us6000dd7l,2021-01-31T10:55:36.767Z,"83 km SSE of Bengkulu, Indonesia",earthquake,7.1,6.1,0.053,124,reviewed,us,us
2021-01-30T09:50:05.806Z,1.5434,121.9811,483.48,4.5,mb,,80,1.273,0.96,us,us6000dd7d,2021-01-30T10:05:58.040Z,"163 km NW of Gorontalo, Indonesia",earthquake,8.9,8.3,0.106,26,reviewed,us,us
2021-01-30T09:10:29.474Z,31.6626,-104.3923,5,3.5,ml,,71,0.092,0.29,us,us6000dd79,2021-02-05T22:00:04.975Z,"56 km S of Whites City, New Mexico",earthquake,0.9,2,0.046,62,reviewed,us,us
2021-01-30T08:35:16.976Z,54.2063,169.2715,19.84,5.3,mww,,81,3.243,0.81,us,us6000dd74,2021-01-30T18:34:06.040Z,"Komandorskiye Ostrova, Russia region",earthquake,8.3,4.4,0.041,56,reviewed,us,us
2021-01-30T08:22:05.719Z,-18.2509,-69.7706,115.85,4.8,mb,,76,0.555,0.66,us,us6000dd72,2021-01-31T01:47:50.530Z,"55 km SE of Calana, Peru",earthquake,7.1,7.2,0.084,43,reviewed,us,us
2021-01-30T08:17:09.487Z,41.7703,-126.5193,10.85,3.1,ml,,257,1.972,0.75,us,us6000dd70,2021-01-31T05:20:19.040Z,"184 km WSW of Pistol River, Oregon",earthquake,10.9,10.1,0.041,77,reviewed,us,us
2021-01-30T08:06:03.533Z,42.5423,-125.9978,10,2.8,ml,,264,1.468,0.68,us,us6000dd6v,2021-01-30T08:17:34.040Z,"off the coast of Oregon",earthquake,8.5,2,0.047,60,reviewed,us,us
2021-01-30T07:13:45.952Z,31.6753,-104.3882,5,2.6,ml,,56,0.096,0.39,us,us6000dd6m,2021-01-30T07:24:05.040Z,"55 km S of Whites City, New Mexico",earthquake,1.3,1.8,0.053,46,reviewed,us,us
2021-01-30T05:35:28.317Z,12.7207,-88.0212,68.47,5,mb,,125,0.976,0.74,us,us6000dd68,2021-01-30T06:07:49.025Z,"off the coast of Central America",earthquake,6.7,6.1,0.035,254,reviewed,us,us
2021-01-30T05:17:24.647Z,-3.0919,129.3568,10.06,5.3,mb,,57,2.893,0.66,us,us6000dd64,2021-01-30T05:36:35.040Z,"55 km ENE of Amahai, Indonesia",earthquake,6.8,4.2,0.068,73,reviewed,us,us
2021-01-30T04:51:53.614Z,42.424,-126.5118,10,2.9,ml,,291,1.865,0.62,us,us6000dd5y,2021-01-30T05:17:15.040Z,"169 km WSW of Port Orford, Oregon",earthquake,9.4,2,0.051,50,reviewed,us,us
2021-01-30T04:19:24.322Z,-62.119,-56.4648,10,5,mb,,49,1.038,0.88,us,us6000dd5u,2021-01-30T04:37:24.040Z,"South Shetland Islands",earthquake,5.3,1.9,0.073,60,reviewed,us,us
2021-01-30T03:37:05.760Z,17.9331,-66.8326,10,2.54,md,24,207,0.0627,0.12,pr,pr2021030002,2021-01-30T06:33:40.306Z,"6 km SSW of Indios, Puerto Rico",earthquake,0.37,0.33,0.14,11,reviewed,pr,pr
2021-01-30T03:26:53.600Z,19.0965,-68.2163,32,3.18,md,11,274,0.6055,0.34,pr,pr2021030005,2021-01-30T06:33:57.946Z,"60 km NNE of Punta Cana, Dominican Republic",earthquake,2.98,12.82,0.16,5,reviewed,pr,pr
2021-01-30T03:13:01.279Z,10.571,125.5166,35,4.7,mb,,125,10.51,0.85,us,us6000derk,2021-02-06T01:36:09.040Z,"23 km NNW of Loreto, Philippines",earthquake,15.5,2,0.175,11,reviewed,us,us
2021-01-30T02:59:41.880Z,17.917,-66.861,15,2.57,md,22,201,0.0609,0.14,pr,pr2021030001,2021-01-30T05:49:20.192Z,"7 km SSE of Maria Antonia, Puerto Rico",earthquake,0.51,0.44,0.34,16,reviewed,pr,pr
